Institution,Gender,Height_inches,On_Campus,Total_Credits,Expected_Grade,Course_Confidence,Course_Conf_Value,Like_Math,Like_Math_Value,Optimistic,Optimistic_Value,Smartphone_Type,Number_Siblings,Access_to_Car,Commute_Distance_Miles,Getting_Ready_Minutes,Number_Pets,TV_Hours,Weekly_Work_Hours,Number_Countries,Number_US_States,Tattoos,Number_Piercings,Number_Social_Media,Number_Extra_Curric,Highschool_GPA,Smoker,Legal_Drink_Age,Awards
,Female,71,No,9,B,Somewhat confident,4,Strongly agree,5,Somewhat agree,4,Apple,3,"Yes, I regularly have a car to drive.",8,60,1,8,30,15,47,No,4,2,1,3.64,No,18,Olympic Gold Medal
U1,Male,67,Yes,12,A,Neither confident nor not confident,3,Strongly disagree,1,Strongly disagree,1,Apple,1,"No, I do not regularly have a car to drive.",10,90,0,8,0,4,4,No,0,1,1,3.92,No,21,Nobel Prize
U2,Female,66,No,15,A,Very confident,5,Somewhat disagree,2,Somewhat agree,4,Android,1,"Yes, I regularly have a car to drive.",5,35,4,3,15,1,15,No,2,3,2,3.6,No,18,Nobel Prize
U2,Male,71,No,17,A,Somewhat confident,4,Somewhat agree,4,Somewhat agree,4,Apple,3,"Yes, I regularly have a car to drive.",8,60,3,10,20,3,11,No,0,4,2,3,No,21,Nobel Prize
U2,Male,69,No,12,A,Very confident,5,Strongly agree,5,Strongly agree,5,Apple,1,"Yes, I regularly have a car to drive.",5,30,0,15,21,10,13,No,0,6,0,3,No,18,Nobel Prize
U2,Female,59,No,6,A,Somewhat confident,4,Somewhat agree,4,Strongly agree,5,Apple,2,"Yes, I regularly have a car to drive.",8,45,3,1,20,4,7,No,1,6,2,2.25,No,21,Academy Award
U2,Male,65,No,12,A,Somewhat confident,4,Strongly agree,5,Neither agree nor disagree,3,Apple,0,"No, I do not regularly have a car to drive.",2.8,90,1,36,6,1,10,No,0,7,2,3.14,No,21,Academy Award
U2,Male,71,No,12,A,Very confident,5,Strongly agree,5,Strongly agree,5,Apple,3,"No, I do not regularly have a car to drive.",3,30,0,10,35,3,20,No,0,6,0,2.8,No,100,Nobel Prize
U2,Female,66,No,12,A,Somewhat confident,4,Somewhat agree,4,Strongly agree,5,Android,1,"Yes, I regularly have a car to drive.",7,30,1,4,6,38,30,No,2,4,3,3.84,No,18,Olympic Gold Medal
U3,Female,68,No,7,A,Very confident,5,Neither agree nor disagree,3,Somewhat disagree,2,Apple,1,"Yes, I regularly have a car to drive.",4.2,15,0,10,9,3,8,No,3,4,1,3.5,No,21,Nobel Prize
U2,Male,67,No,12,B,Somewhat confident,4,Somewhat disagree,2,Neither agree nor disagree,3,Apple,2,"Yes, I regularly have a car to drive.",5,20,1,10,28,4,9,No,2,4,0,3.87,No,18,Academy Award
U2,Female,60,No,10,B,Neither confident nor not confident,3,Neither agree nor disagree,3,Somewhat disagree,2,Apple,2,"Yes, I regularly have a car to drive.",6,60,2,7,20,2,10,No,2,4,4,3.75,No,18,Nobel Prize
U2,Female,65,No,12,A,Very confident,5,Strongly agree,5,Somewhat agree,4,Android,4,"Yes, I regularly have a car to drive.",5,90,1,20,15,4,10,No,2,2,1,3.75,No,18,Nobel Prize
U2,Female,63,No,4,A,Very confident,5,Neither agree nor disagree,3,Somewhat disagree,2,Apple,3,"Yes, I regularly have a car to drive.",8,30,4,3,20,1,5,No,0,4,0,3.5,No,21,Nobel Prize
U2,Male,63,No,12,A,Somewhat confident,4,Neither agree nor disagree,3,Neither agree nor disagree,3,Apple,1,"Yes, I regularly have a car to drive.",3.5,45,0,5,48,4,11,No,5,8,6,3.5,No,19,Academy Award
